FIELD,CALIB,ZP_GAIA3_BP,ZP_GAIA3_G,ZP_GAIA3_RP
SPLUS-b177,Calibration_iDR5_3_PSF,0.0107,0.0034,0.0046
SPLUS-b178,Calibration_iDR5_3_PSF,0.0105,0.0048,0.0034
SPLUS-b179,Calibration_iDR5_3_PSF,0.011,0.0047,0.0053
SPLUS-b183,Calibration_iDR5_3_PSF,0.0055,-0.0263,-0.021
SPLUS-b185,Calibration_iDR5_3_PSF,0.0124,-0.0009,0.0037
SPLUS-b186,Calibration_iDR5_3_PSF,0.0108,0.0026,0.0061
SPLUS-b187,Calibration_iDR5_3_PSF,0.0094,0.0032,0.0042
SPLUS-b188,Calibration_iDR5_3_PSF,0.009,0.0035,0.0039
SPLUS-b189,Calibration_iDR5_3_PSF,0.0077,0.0041,0.002
SPLUS-b191,Calibration_iDR5_3_PSF,0.0187,0.0001,0.0037
SPLUS-b192,Calibration_iDR5_3_PSF,0.0162,0.0076,0.0172
SPLUS-b193,Calibration_iDR5_3_PSF,0.012,0.0017,0.0047
SPLUS-b194,Calibration_iDR5_3_PSF,0.0114,0.0017,0.0037
SPLUS-b195,Calibration_iDR5_3_PSF,0.0063,0.0013,0.0038
SPLUS-b196,Calibration_iDR5_3_PSF,0.0104,0.0046,0.0046
SPLUS-b198,Calibration_iDR5_3_PSF,0.01,0.001,0.0043
SPLUS-b199,Calibration_iDR5_3_PSF,0.0106,0.0016,0.0043
SPLUS-d002,Calibration_iDR5_3_PSF,0.0071,-0.0092,-0.0023
SPLUS-d005,Calibration_iDR5_3_PSF,0.0158,0.0001,-0.0056
SPLUS-d011,Calibration_iDR5_3_PSF,0.0245,0.0106,-0.0024
SPLUS-d012,Calibration_iDR5_3_PSF,0.0239,0.0054,-0.0028
SPLUS-d013,Calibration_iDR5_3_PSF,0.0117,-0.0126,-0.0122
SPLUS-d020,Calibration_iDR5_3_PSF,0.0276,0.0071,-0.0055
SPLUS-d022,Calibration_iDR5_3_PSF,0.0375,0.0202,0.0128
SPLUS-d023,Calibration_iDR5_3_PSF,0.0193,0.0056,-0.0097
SPLUS-d024,Calibration_iDR5_3_PSF,0.0207,0.0031,-0.0073
SPLUS-d025,Calibration_iDR5_3_PSF,0.0138,-0.0007,-0.0051
SPLUS-d028,Calibration_iDR5_3_PSF,0.004,-0.0109,-0.0044
SPLUS-d029,Calibration_iDR5_3_PSF,0.0451,0.0271,-0.0029
SPLUS-d033,Calibration_iDR5_3_PSF,0.0392,0.0183,-0.0031
SPLUS-d034,Calibration_iDR5_3_PSF,0.0258,0.0121,-0.0024
SPLUS-d035,Calibration_iDR5_3_PSF,0.023,0.0124,-0.0029
SPLUS-d036,Calibration_iDR5_3_PSF,0.0202,0.0102,-0.0039
SPLUS-d037,Calibration_iDR5_3_PSF,0.0256,0.0167,-0.0024
SPLUS-d038,Calibration_iDR5_3_PSF,0.0216,0.0057,-0.0119
