iDR5_Field_Name,Field,NAME,CALIB,ZP_U,ZP_F378,ZP_F395,ZP_F410,ZP_F430,ZP_G,ZP_F515,ZP_R,ZP_F660,ZP_I,ZP_F861,ZP_Z
STRIPE82_0002,STRIPE82-0002,STRIPE82_0002,Calibration_iDR5_3_Main,20.8598,20.2396,20.299,21.2005,21.3431,23.6485,21.5895,23.6703,21.1365,23.4261,21.6913,22.8846
STRIPE82-0003,STRIPE82-0003,STRIPE82_0003,Calibration_iDR5_3_Main,20.0072,19.4018,19.5107,20.5318,20.722,22.932,20.8345,22.7959,20.2712,22.586,20.8291,22.0722
STRIPE82-0004,STRIPE82-0004,STRIPE82_0004,Calibration_iDR5_3_Main,19.9668,19.379,19.4898,20.5197,20.7148,22.9168,20.7736,22.7784,20.2228,22.5478,20.822,21.9997
STRIPE82-0005,STRIPE82-0005,STRIPE82_0005,Calibration_iDR5_3_Main,20.0003,19.3761,19.4814,20.5159,20.7109,22.9393,20.8408,22.7966,20.2782,22.5651,20.828,21.9996
STRIPE82-0006,STRIPE82-0006,STRIPE82_0006,Calibration_iDR5_3_Main,19.986,19.3801,19.4754,20.5028,20.6902,22.9298,20.8036,22.7895,20.2782,22.5609,20.8293,21.9904
STRIPE82-0007,STRIPE82-0007,STRIPE82_0007,Calibration_iDR5_3_Main,19.9646,19.3629,19.4691,20.4908,20.6976,22.9183,20.8181,22.7778,20.2603,22.5562,20.817,21.9968
STRIPE82_0008,STRIPE82-0008,STRIPE82_0008,Calibration_iDR5_3_Main,20.8927,20.2697,20.3186,21.2152,21.3608,23.6643,21.609,23.6675,21.1389,23.4112,21.6814,22.8488
STRIPE82-0009,STRIPE82-0009,STRIPE82_0009,Calibration_iDR5_3_Main,20.0085,19.4316,19.4907,20.5347,20.7281,22.9263,20.8384,22.7847,20.2734,22.5589,20.8292,22.0022
STRIPE82_0010,STRIPE82-0010,STRIPE82_0010,Calibration_iDR5_3_Main,20.8135,20.2299,20.1479,21.0065,21.2713,23.5759,21.5547,23.5168,21.1267,23.2511,21.681,22.8192
STRIPE82_0011,STRIPE82-0011,STRIPE82_0011,Calibration_iDR5_3_Main,20.6942,20.1285,20.1813,21.1108,21.2691,23.5956,21.5394,23.6285,21.1144,23.3823,21.6668,22.8047
STRIPE82_0012,STRIPE82-0012,STRIPE82_0012,Calibration_iDR5_3_Main,20.9391,20.2847,20.3201,21.2286,21.3751,23.6735,21.6153,23.6698,21.1418,23.405,21.6822,22.8368
STRIPE82-0013,STRIPE82-0013,STRIPE82_0013,Calibration_iDR5_3_Main,20.0121,19.4187,19.507,20.538,20.7259,22.9318,20.8368,22.7819,20.267,22.5662,20.828,22.02
STRIPE82_0014,STRIPE82-0014,STRIPE82_0014,Calibration_iDR5_3_Main,20.9278,20.2797,20.321,21.2212,21.3708,23.668,21.6074,23.6665,21.1397,23.4134,21.6787,22.8606
