iDR5_Field_Name,Field,NAME,PHOT,aper_corr_single_U,aper_corr_single_F378,aper_corr_single_F395,aper_corr_single_F410,aper_corr_single_F430,aper_corr_single_G,aper_corr_single_F515,aper_corr_single_R,aper_corr_single_F660,aper_corr_single_I,aper_corr_single_F861,aper_corr_single_Z
STRIPE82-0086,STRIPE82-0086,STRIPE82_0086,single,-0.71215,-0.77201,-0.8215,-0.67449,-0.6416,-0.42095,-0.48053,-0.47839,-0.42699,-0.45454,-0.30366,-0.36839
STRIPE82-0087,STRIPE82-0087,STRIPE82_0087,single,-0.7049,-0.72911,-0.77072,-0.78456,-0.66993,-0.60115,-0.62028,-0.53811,-0.51165,-0.46366,-0.46046,-0.47141
STRIPE82-0088,STRIPE82-0088,STRIPE82_0088,single,-0.53207,-0.65981,-0.64681,-0.65761,-0.79086,-0.77436,-0.78314,-0.74006,-0.5697,-0.5054,-0.60343,-0.37955
STRIPE82-0089,STRIPE82-0089,STRIPE82_0089,single,-0.52904,-0.64891,-0.81236,-0.65375,-0.68188,-0.66937,-0.72952,-0.57177,-0.58182,-0.4266,-0.54133,-0.4534
STRIPE82-0090,STRIPE82-0090,STRIPE82_0090,single,-0.5929,-0.43761,-0.4068,-0.38091,-0.33824,-0.36628,-0.39508,-0.31725,-0.27497,-0.27846,-0.31536,-0.30072
STRIPE82-0091,STRIPE82-0091,STRIPE82_0091,single,-0.46698,-0.49647,-0.4067,-0.41798,-0.45525,-0.44198,-0.3749,-0.45949,-0.35702,-0.31549,-0.29825,-0.2977
STRIPE82-0092,STRIPE82-0092,STRIPE82_0092,single,-0.44945,-0.41135,-0.40128,-0.3862,-0.37484,-0.33058,-0.34694,-0.29118,-0.27441,-0.27827,-0.25765,-0.29473
STRIPE82-0093,STRIPE82-0093,STRIPE82_0093,single,-0.63903,-0.46883,-0.42151,-0.40318,-0.39148,-0.56766,-0.31504,-0.43361,-0.28413,-0.34932,-0.29481,-0.36124
STRIPE82-0094,STRIPE82-0094,STRIPE82_0094,single,-0.38723,-0.47802,-0.48861,-0.46907,-0.4778,-0.35204,-0.42729,-0.33193,-0.41547,-0.31291,-0.38204,-0.35078
STRIPE82-0095,STRIPE82-0095,STRIPE82_0095,single,-0.51382,-0.58818,-0.47407,-0.45794,-0.45202,-0.40536,-0.41739,-0.382,-0.34324,-0.36902,-0.33741,-0.36817
